Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
01 Bolig eller sentrumsformål,Bebygd,14464
01 Bolig eller sentrumsformål,Ferskvann,5
01 Bolig eller sentrumsformål,Fulldyrka jord,250
01 Bolig eller sentrumsformål,Hav,3
01 Bolig eller sentrumsformål,Innmarksbeite,4
01 Bolig eller sentrumsformål,Overflatedyrka jord,4
01 Bolig eller sentrumsformål,Samferdsel,1784
01 Bolig eller sentrumsformål,Skog,2448
01 Bolig eller sentrumsformål,Åpen fastmark,375
02 Fritidsbebyggelse,Bebygd,1395
02 Fritidsbebyggelse,Ferskvann,0
02 Fritidsbebyggelse,Fulldyrka jord,6
02 Fritidsbebyggelse,Myr,0
02 Fritidsbebyggelse,Overflatedyrka jord,0
02 Fritidsbebyggelse,Samferdsel,142
02 Fritidsbebyggelse,Skog,841
02 Fritidsbebyggelse,Åpen fastmark,62
03 Tjenesteyting,Bebygd,1040
03 Tjenesteyting,Ferskvann,2
03 Tjenesteyting,Fulldyrka jord,102
03 Tjenesteyting,Hav,0
03 Tjenesteyting,Overflatedyrka jord,1
03 Tjenesteyting,Samferdsel,123
03 Tjenesteyting,Skog,228
03 Tjenesteyting,Åpen fastmark,111
04 Handel,Bebygd,95
04 Handel,Fulldyrka jord,0
04 Handel,Samferdsel,5
04 Handel,Skog,42
04 Handel,Åpen fastmark,0
05 Turistformål,Bebygd,25
05 Turistformål,Fulldyrka jord,0
05 Turistformål,Samferdsel,2
05 Turistformål,Skog,2
05 Turistformål,Åpen fastmark,7
06 Næringsvirksomhet,Bebygd,2995
06 Næringsvirksomhet,Ferskvann,16
06 Næringsvirksomhet,Fulldyrka jord,26
06 Næringsvirksomhet,Hav,24
06 Næringsvirksomhet,Myr,9
06 Næringsvirksomhet,Samferdsel,195
06 Næringsvirksomhet,Skog,711
06 Næringsvirksomhet,Åpen fastmark,368
07 Råstoffutvinning,Bebygd,262
07 Råstoffutvinning,Myr,9
07 Råstoffutvinning,Samferdsel,3
07 Råstoffutvinning,Skog,426
07 Råstoffutvinning,Åpen fastmark,11
08 Kombinerte formål,Bebygd,1382
08 Kombinerte formål,Ferskvann,1
08 Kombinerte formål,Fulldyrka jord,193
08 Kombinerte formål,Hav,1
08 Kombinerte formål,Innmarksbeite,0
08 Kombinerte formål,Overflatedyrka jord,2
08 Kombinerte formål,Samferdsel,169
08 Kombinerte formål,Skog,1330
08 Kombinerte formål,Åpen fastmark,74
09 Idrettsanlegg,Bebygd,401
09 Idrettsanlegg,Ferskvann,25
09 Idrettsanlegg,Fulldyrka jord,146
09 Idrettsanlegg,Hav,1
09 Idrettsanlegg,Innmarksbeite,1
09 Idrettsanlegg,Myr,59
09 Idrettsanlegg,Samferdsel,92
09 Idrettsanlegg,Skog,596
09 Idrettsanlegg,Åpen fastmark,1266
10 Andre formål,Bebygd,357
10 Andre formål,Ferskvann,9
10 Andre formål,Fulldyrka jord,69
10 Andre formål,Hav,3
10 Andre formål,Innmarksbeite,0
10 Andre formål,Overflatedyrka jord,2
10 Andre formål,Samferdsel,35
10 Andre formål,Skog,173
10 Andre formål,Åpen fastmark,157
11 Samferdselsanlegg,Bebygd,1920
11 Samferdselsanlegg,Ferskvann,4
11 Samferdselsanlegg,Fulldyrka jord,615
11 Samferdselsanlegg,Hav,6
11 Samferdselsanlegg,Innmarksbeite,3
11 Samferdselsanlegg,Myr,2
11 Samferdselsanlegg,Overflatedyrka jord,1
11 Samferdselsanlegg,Samferdsel,4356
11 Samferdselsanlegg,Skog,597
11 Samferdselsanlegg,Åpen fastmark,750
