Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
01 Bolig eller sentrumsformål,Bebygd,6337
01 Bolig eller sentrumsformål,Ferskvann,17
01 Bolig eller sentrumsformål,Fulldyrka jord,79
01 Bolig eller sentrumsformål,Hav,0
01 Bolig eller sentrumsformål,Innmarksbeite,1
01 Bolig eller sentrumsformål,Overflatedyrka jord,18
01 Bolig eller sentrumsformål,Samferdsel,604
01 Bolig eller sentrumsformål,Skog,1774
01 Bolig eller sentrumsformål,Åpen fastmark,221
02 Fritidsbebyggelse,Bebygd,865
02 Fritidsbebyggelse,Ferskvann,1
02 Fritidsbebyggelse,Fulldyrka jord,8
02 Fritidsbebyggelse,Hav,3
02 Fritidsbebyggelse,Samferdsel,103
02 Fritidsbebyggelse,Skog,737
02 Fritidsbebyggelse,Åpen fastmark,22
03 Tjenesteyting,Bebygd,464
03 Tjenesteyting,Ferskvann,0
03 Tjenesteyting,Fulldyrka jord,69
03 Tjenesteyting,Hav,0
03 Tjenesteyting,Overflatedyrka jord,2
03 Tjenesteyting,Samferdsel,50
03 Tjenesteyting,Skog,704
03 Tjenesteyting,Åpen fastmark,61
04 Handel,Bebygd,60
04 Handel,Ferskvann,0
04 Handel,Fulldyrka jord,0
04 Handel,Samferdsel,3
04 Handel,Skog,3
04 Handel,Åpen fastmark,0
05 Turistformål,Bebygd,92
05 Turistformål,Ferskvann,1
05 Turistformål,Fulldyrka jord,20
05 Turistformål,Hav,0
05 Turistformål,Samferdsel,15
05 Turistformål,Skog,55
05 Turistformål,Åpen fastmark,13
06 Næringsvirksomhet,Bebygd,1620
06 Næringsvirksomhet,Ferskvann,8
06 Næringsvirksomhet,Fulldyrka jord,73
06 Næringsvirksomhet,Hav,6
06 Næringsvirksomhet,Myr,8
06 Næringsvirksomhet,Overflatedyrka jord,9
06 Næringsvirksomhet,Samferdsel,108
06 Næringsvirksomhet,Skog,837
06 Næringsvirksomhet,Åpen fastmark,180
07 Råstoffutvinning,Bebygd,190
07 Råstoffutvinning,Myr,17
07 Råstoffutvinning,Samferdsel,10
07 Råstoffutvinning,Skog,221
07 Råstoffutvinning,Åpen fastmark,10
08 Kombinerte formål,Bebygd,517
08 Kombinerte formål,Ferskvann,3
08 Kombinerte formål,Fulldyrka jord,71
08 Kombinerte formål,Hav,0
08 Kombinerte formål,Overflatedyrka jord,0
08 Kombinerte formål,Samferdsel,54
08 Kombinerte formål,Skog,95
08 Kombinerte formål,Åpen fastmark,71
09 Idrettsanlegg,Bebygd,112
09 Idrettsanlegg,Ferskvann,41
09 Idrettsanlegg,Fulldyrka jord,572
09 Idrettsanlegg,Myr,19
09 Idrettsanlegg,Overflatedyrka jord,80
