Arealformålsgruppe,ArealdekkekodeEnkel_navn,Dekar
01 Bolig eller sentrumsformål,Ferskvann,0
01 Bolig eller sentrumsformål,Fulldyrka jord,57
01 Bolig eller sentrumsformål,Hav,1
01 Bolig eller sentrumsformål,Innmarksbeite,4
01 Bolig eller sentrumsformål,Overflatedyrka jord,2
01 Bolig eller sentrumsformål,Skog,802
01 Bolig eller sentrumsformål,Åpen fastmark,147
02 Fritidsbebyggelse,Fulldyrka jord,0
02 Fritidsbebyggelse,Hav,5
02 Fritidsbebyggelse,Overflatedyrka jord,1
02 Fritidsbebyggelse,Skog,203
02 Fritidsbebyggelse,Åpen fastmark,58
03 Tjenesteyting,Ferskvann,0
03 Tjenesteyting,Fulldyrka jord,22
03 Tjenesteyting,Hav,0
03 Tjenesteyting,Skog,74
03 Tjenesteyting,Åpen fastmark,12
04 Handel,Fulldyrka jord,1
04 Handel,Skog,2
04 Handel,Åpen fastmark,1
06 Næringsvirksomhet,Ferskvann,5
06 Næringsvirksomhet,Fulldyrka jord,16
06 Næringsvirksomhet,Hav,10
06 Næringsvirksomhet,Skog,169
06 Næringsvirksomhet,Åpen fastmark,27
07 Råstoffutvinning,Skog,1
07 Råstoffutvinning,Åpen fastmark,4
08 Kombinerte formål,Ferskvann,0
08 Kombinerte formål,Fulldyrka jord,43
08 Kombinerte formål,Skog,92
08 Kombinerte formål,Åpen fastmark,11
11 Samferdselsanlegg,Ferskvann,0
11 Samferdselsanlegg,Fulldyrka jord,27
11 Samferdselsanlegg,Hav,0
11 Samferdselsanlegg,Overflatedyrka jord,1
11 Samferdselsanlegg,Skog,59
11 Samferdselsanlegg,Åpen fastmark,15
