Arealformålsgruppe,Dekar,ØkosystemtypeNivå1_text
01 Bolig eller sentrumsformål,10971,Bebyggelse/samferdsel
01 Bolig eller sentrumsformål,66,Dyrket mark
01 Bolig eller sentrumsformål,2,Grasmark
01 Bolig eller sentrumsformål,1061,Skog
01 Bolig eller sentrumsformål,133,Hei og åpen vegetasjon
01 Bolig eller sentrumsformål,43,Lite vegetert mark
01 Bolig eller sentrumsformål,2,Elver/bekker
01 Bolig eller sentrumsformål,2,Innsjøer/tjern
01 Bolig eller sentrumsformål,19,"Svaberg, kyststrender og dyner"
01 Bolig eller sentrumsformål,2,Åpent hav
02 Fritidsbebyggelse,2943,Bebyggelse/samferdsel
02 Fritidsbebyggelse,5,Dyrket mark
02 Fritidsbebyggelse,0,Grasmark
02 Fritidsbebyggelse,2028,Skog
02 Fritidsbebyggelse,93,Hei og åpen vegetasjon
02 Fritidsbebyggelse,76,Lite vegetert mark
02 Fritidsbebyggelse,55,Våtmark
02 Fritidsbebyggelse,2,Elver/bekker
02 Fritidsbebyggelse,1,Innsjøer/tjern
02 Fritidsbebyggelse,105,"Svaberg, kyststrender og dyner"
02 Fritidsbebyggelse,0,Åpent hav
03 Tjenesteyting,1190,Bebyggelse/samferdsel
03 Tjenesteyting,43,Dyrket mark
03 Tjenesteyting,277,Skog
03 Tjenesteyting,96,Hei og åpen vegetasjon
03 Tjenesteyting,4,Lite vegetert mark
03 Tjenesteyting,5,Elver/bekker
03 Tjenesteyting,0,Innsjøer/tjern
03 Tjenesteyting,0,"Svaberg, kyststrender og dyner"
03 Tjenesteyting,0,Åpent hav
04 Handel,452,Bebyggelse/samferdsel
04 Handel,19,Dyrket mark
04 Handel,14,Skog
04 Handel,5,Hei og åpen vegetasjon
04 Handel,0,Innsjøer/tjern
04 Handel,0,Åpent hav
05 Turistformål,1123,Bebyggelse/samferdsel
05 Turistformål,96,Dyrket mark
05 Turistformål,16,Grasmark
05 Turistformål,289,Skog
05 Turistformål,58,Hei og åpen vegetasjon
05 Turistformål,1,Lite vegetert mark
05 Turistformål,2,Våtmark
05 Turistformål,2,Elver/bekker
05 Turistformål,1,Innsjøer/tjern
05 Turistformål,2,"Svaberg, kyststrender og dyner"
05 Turistformål,0,Åpent hav
06 Næringsvirksomhet,2558,Bebyggelse/samferdsel
06 Næringsvirksomhet,44,Dyrket mark
06 Næringsvirksomhet,1177,Skog
06 Næringsvirksomhet,38,Hei og åpen vegetasjon
06 Næringsvirksomhet,4,Lite vegetert mark
06 Næringsvirksomhet,6,Våtmark
06 Næringsvirksomhet,1,Elver/bekker
06 Næringsvirksomhet,7,Innsjøer/tjern
06 Næringsvirksomhet,0,"Svaberg, kyststrender og dyner"
06 Næringsvirksomhet,0,Åpent hav
07 Råstoffutvinning,5944,Bebyggelse/samferdsel
07 Råstoffutvinning,3,Dyrket mark
07 Råstoffutvinning,0,Grasmark
07 Råstoffutvinning,4572,Skog
07 Råstoffutvinning,14,Hei og åpen vegetasjon
07 Råstoffutvinning,48,Lite vegetert mark
07 Råstoffutvinning,6,Elver/bekker
07 Råstoffutvinning,117,Innsjøer/tjern
08 Kombinerte formål,1148,Bebyggelse/samferdsel
08 Kombinerte formål,160,Dyrket mark
08 Kombinerte formål,3,Grasmark
08 Kombinerte formål,1712,Skog
08 Kombinerte formål,115,Hei og åpen vegetasjon
08 Kombinerte formål,25,Lite vegetert mark
08 Kombinerte formål,8,Våtmark
08 Kombinerte formål,3,Elver/bekker
08 Kombinerte formål,11,Innsjøer/tjern
08 Kombinerte formål,40,Åpent hav
09 Idrettsanlegg,1199,Bebyggelse/samferdsel
09 Idrettsanlegg,114,Dyrket mark
09 Idrettsanlegg,1081,Skog
09 Idrettsanlegg,92,Hei og åpen vegetasjon
09 Idrettsanlegg,2,Elver/bekker
09 Idrettsanlegg,15,Innsjøer/tjern
